HR,PutCount,GetCount,DeleteCount,PutBytes,GetBytes
1,27284,829404,0,72557296580,3250100590021
2,38821,622363,0,111895461558,2349467104954
3,32852,5378048,0,38249957397,22005791734411
4,136238,2739830,0,13849185869,8227854292482
5,124376,1694021,0,7317421467,4403418163242
6,11612,96989,0,307429414,952141974
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,16,23888,0,39555557,14468533543
13,0,0,0,0,0
14,0,0,0,0,0
15,0,198,0,0,904059
16,0,14,0,0,49003
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,400,0,0,78495431
21,4,48949,0,387905,187221519658
22,6643,45762,0,407898691,2850191624
23,164105,2042114,0,13099437220,4702875740050
24,88435,491439,0,6540640132,79759136290
25,5149,36529,0,88869614,296114189
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,1059,0,0,1163463,0
31,61632,434345,0,13610254860,715915556846
32,45613,1870668,0,107087821679,7385773735853
33,32004,602195,0,88373115400,2285281291568
34,33983,5495194,0,60774109888,22628904319935
35,73267,2214433,0,14165337125,7579959396475
36,171330,2038225,0,10163207611,4630516146688
37,29730,189558,0,1886492876,4535816092
38,2,23270,0,3645692,89435215729
39,18,27900,0,39679234,27270161300
40,4,420667,0,9050882,1754684785355
41,0,420045,0,0,1755312130386
42,4,4,0,9050882,9050882
43,22809,93186,0,75620513364,90921210354
44,84178,988167,0,172665663719,2883040367312
45,59076,821914,0,75379607751,2383521917566
46,41411,618169,0,26578520329,1610426685747
47,222581,1373237,0,7527718890,405156633902
48,24702,172703,0,349514675,4636224556
49,8,25660,0,14923449,12239735194
50,0,0,0,0,0
51,9,114330,0,3552,418637201551
52,14,184276,0,2491,680107590477
53,15,182616,0,2521,650833738964
54,14,222919,0,79795,759851753302
55,16,222927,0,153355,759851843160
56,26,167878,0,8673829,628448952770
57,28,225780,0,10185948,854906224476
58,21,217489,0,4389048,816910043290
59,0,0,0,0,0
60,0,0,0,0,0
61,2610,11783,0,10449259254,25222726485
62,4792,6054,0,19260644581,19815644981
63,8,52590,0,1898,197741801930
64,0,604,0,0,39227965
65,4,5038,0,118227,16300621602
66,0,0,0,0,0
67,0,400,0,0,24576226
68,0,0,0,0,0
69,0,0,0,0,0
70,53147,451707,0,13925723596,452685212303
71,42173,458386,0,86765945980,1332393584324
72,94423,795504,0,8226265978,954175377915
73,163148,1013311,0,4225163879,345092641381
74,10334,84575,0,64789466,380363695
75,12,37993,0,27404825,14699475224
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,12,50352,0,27408,174878640737
123,6,36578,0,15967,133426876907
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,26,0,0,3844838
137,57,5608,0,189789052,8083982858
138,6,13565,0,2424,26316564210
139,0,0,0,0,0
140,0,80,0,0,5154598
141,8,76401,0,4819727,284880120883
142,32,196294,0,7184351,736901022274
143,22,198268,0,9801942,751024655753
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,6,10256,0,889040,21153325944
153,21,130104,0,9636463,455261702031
154,11,90702,0,1634064,323001548620
155,10,7044,0,1485810,7945093841
156,6,10532,0,1052592,15864484743
157,0,200,0,0,3181048
158,0,0,0,0,0
159,434,9618,0,276386742,26111394014
160,0,0,0,0,0
161,0,200,0,0,2477300
162,0,0,0,0,0
163,12195,659085,0,34011285720,2702973884284
164,34085,301956,0,97839874526,607276767523
165,46509,235504,0,136798254747,611971232446
166,18921,186353,0,58141293458,603875808946
167,34196,460050,0,18284622339,1164990454412
168,143278,863988,0,14562403722,235765555907
169,44774,295801,0,2408213907,182537611315
