HR,WSS
1,60853623953
2,113229884419
3,168223208009
4,232429302284
5,290524601425
6,344616566083
7,394617825138
8,443230016723
9,490840526799
10,544897745973
11,593832433140
12,649430235191
13,717302253704
14,784120016395
15,861808481378
16,927956448299
17,991110674273
18,1056642615675
19,1129597989542
20,1215143431052
21,1277868868260
22,1327791514569
23,1405252688451
24,1461230014670
25,1527742027516
26,1594341665095
27,1675460954778
28,1757840808223
29,1825992999608
30,1902462799406
31,1993728645456
32,2049757194128
33,2114990207501
34,2183021368856
35,2250231624096
36,2340342125767
37,2417166513187
38,2487158961974
39,2573236234318
40,2644678106797
41,2712742093362
42,2781218205202
43,2830406958949
44,2922176647280
45,3005502246514
46,3079270975267
47,3153599456323
48,3205898898500
49,3274756176798
50,3342766559094
51,3424137586629
52,3510441328058
53,3582635574087
54,3663243139620
55,3753259565079
56,3810674001576
57,3876497479664
58,3937003259524
59,3999967253101
60,4091924910830
61,4166194279680
62,4237140552277
63,4328914730129
64,4395793265026
65,4465637407942
66,4533516667295
67,4599690001899
68,4665251407616
69,4719919993857
70,4777080281590
71,4867533678454
72,4924181631265
73,4995874559152
74,5065214488371
75,5145558842716
76,5213873000239
77,5288285545535
78,5363316428024
79,5439472343017
80,5498055646088
81,5565787521829
82,5632796019787
83,5707082637404
84,5799278590843
85,5871403952091
86,5944161236593
87,6035001554215
88,6092963901401
89,6151106165328
90,6207524005437
91,6273717988094
92,6346538127209
93,6410632233805
94,6465902663894
95,6522014439500
96,6584298153805
97,6655423741039
98,6723392259357
99,6811074903603
100,6895448173062
101,6966352380827
102,7048376253017
103,7141828819771
104,7202031852992
105,7271382194569
106,7340984081115
107,7416382374282
108,7511814159768
109,7586503749133
110,7653304672834
111,7746736103844
112,7813530660193
113,7881914114513
114,7952084124606
115,8021458882586
116,8114339342938
117,8191729210349
118,8263482454820
119,8348867581517
120,8418774763906
121,8488139571938
122,8554924579401
123,8636921728570
124,8718729317881
125,8792543888771
126,8871347634874
127,8963142643993
128,9022663518210
129,9091935986668
130,9157872171587
131,9232770170558
132,9326022721976
133,9399602568043
134,9470557988900
135,9563661350847
136,9628250925569
137,9699020667735
138,9768968381278
139,9853988126701
140,9941229737583
141,10013966352319
142,10092120331872
143,10187115155907
144,10245740991687
145,10315551946942
146,10375705406019
147,10452806159734
148,10510673510889
149,10576783675128
150,10632815315044
151,10690086889260
152,10734952209568
153,10785275984009
154,10838688609976
155,10890543412233
156,10950438914547
157,11021006649122
158,11083043232601
159,11154788835202
160,11218934609628
161,11283094538194
162,11332529848787
163,11408460594621
164,11486902263777
165,11566938629705
166,11659761724336
167,11746374837266
168,11819661880434
169,11819666777543
