HR,WSS
1,298480220139
2,922104794020
3,1557922079786
4,2162345082108
5,2650150652959
6,3152126888819
7,3532762079005
8,3869230328205
9,4155976156290
10,4432866794183
11,4661656303621
12,4920637862220
13,5270784047797
14,5671551164975
15,6167132445397
16,6754541166197
17,7603408701272
18,8349268345656
19,9206993340600
20,10066330915785
21,11045699219392
22,11875875180456
23,12621969734278
24,13289039535395
25,13886534397149
26,14517879544311
27,15107130539108
28,15592812276072
29,16363032694762
30,16779340728602
31,17042167681299
32,17248211661884
33,17470687439044
34,17775841285631
35,18035042671220
36,18269619602841
37,18610924944758
38,19099555844944
39,19721717807851
40,20380146872265
41,21142012378554
42,21875299982795
43,22827095064584
44,23998584772862
45,24803329876273
46,25600697573481
47,26351695369079
48,27028520259546
49,27600138719780
50,28194331024316
51,28709929454600
52,29223070375665
53,29677131300282
54,30202533599948
55,30460858678290
56,30685315787122
57,30915219488556
58,31114509647412
59,31404331794093
60,31667864715443
61,31987466061573
62,32418956409689
63,33056327039238
64,33757255479123
65,34425961831214
66,35094366687892
67,35757810803711
68,36450615975478
69,37062245766517
70,37750499329514
71,38335639118944
72,38752876211563
73,39248430596073
74,39643257678595
75,40108082602930
76,40482865561201
77,40812894995986
78,41121908446496
79,41352350664785
80,41524694315824
81,41709299341594
82,41916244434572
83,42088975236717
84,42239706044134
85,42485495094724
86,42750197161755
87,43139416472606
88,43503331262049
89,43972596933079
90,44464563532287
91,44900874531076
92,45380776671938
93,45926377198749
94,46366513924885
95,46849891986338
96,47781666164589
97,48210943555732
98,48603711218593
99,48965234232075
100,49460578207976
101,49817717969370
102,50140204624469
103,50396800355733
104,50628564588605
105,50817529763331
106,50996259187751
107,51190670881503
108,51374560989921
109,51617956508748
110,51905294196115
111,52269302831939
112,52670300322866
113,53079717939656
114,53583447436403
115,54318527999015
116,54876403554835
117,55403121159005
118,55978699690353
119,56532168315025
120,57127945860485
121,57882543417100
122,58497271181347
123,59054880807708
124,59685604926932
125,60188209512014
126,60599208296681
127,60954400680368
128,61270329935639
129,61521607656330
130,61801595406126
131,62057327526402
132,62374702073980
133,62697135283304
134,63131658522994
135,63939433460806
136,64701174847368
137,65442800141995
138,66209560723827
139,66982655519037
140,67777631721231
141,68860600664190
142,70413325138982
143,71491454938903
144,72224010160357
145,72859545048975
146,73410642949831
147,73871563900320
148,74350890342059
149,74687162322806
150,75165091180104
151,75506777445411
152,75994392102737
153,76546121177458
154,76967091556407
155,77326815494538
156,77663429953864
157,78072225159137
158,78568139664809
159,79110848748752
160,79687625533715
161,80384518239027
162,81121067918036
163,81888430652129
164,82677329893076
165,83485489678958
166,84369832688166
167,85225108041220
168,85955186026924
169,86212551410710
