HR,PutCount,GetCount,DeleteCount,PutBytes,GetBytes
1,0,25220,0,0,26445086720
2,0,27844,0,0,29196550144
3,0,27878,0,0,29232201728
4,0,21837,0,0,22897754112
5,0,24267,0,0,25445793792
6,0,19917,0,0,20884488192
7,0,17161,0,0,17994612736
8,0,22400,0,0,23488102400
9,0,24328,0,0,25509756928
10,0,25888,0,0,27145535488
11,0,19429,0,0,20372783104
12,0,26896,0,0,28202500096
13,0,19504,0,0,20451426304
14,0,18023,0,0,18898485248
15,0,27700,0,0,29045555200
16,0,20858,0,0,21871198208
17,0,24730,0,0,25931284480
18,0,30412,0,0,31889293312
19,0,20491,0,0,21486370816
20,0,16276,0,0,17066622976
21,0,27699,0,0,29044506624
22,0,22828,0,0,23936892928
23,0,22990,0,0,24106762240
24,0,19854,0,0,20818427904
25,0,14409,0,0,15108931584
26,0,25703,0,0,26951548928
27,0,17264,0,0,18102616064
28,0,17528,0,0,18379440128
29,0,20557,0,0,21555576832
30,0,19274,0,0,20210253824
31,0,22627,0,0,23726129152
32,0,15581,0,0,16337862656
33,0,21744,0,0,22800236544
34,0,20623,0,0,21624782848
35,0,30914,0,0,32415678464
36,0,36095,0,0,37848350720
37,0,17516,0,0,18366857216
38,0,19157,0,0,20087570432
39,0,9912,0,0,10393485312
40,0,15301,0,0,16044261376
41,0,14551,0,0,15257829376
42,0,18994,0,0,19916652544
43,0,24247,0,0,25424822272
44,0,13940,0,0,14617149440
45,0,19607,0,0,20559429632
46,0,25358,0,0,26589790208
47,0,27142,0,0,28460449792
48,0,18673,0,0,19580059648
49,0,20111,0,0,21087911936
50,0,21007,0,0,22027436032
51,0,16763,0,0,17577279488
52,0,20180,0,0,21160263680
53,0,25769,0,0,27020754944
54,0,20147,0,0,21125660672
55,0,22237,0,0,23317184512
56,0,15555,0,0,16310599680
57,0,32641,0,0,34226569216
58,0,27400,0,0,28730982400
59,0,22008,0,0,23077060608
60,0,21145,0,0,22172139520
61,0,22948,0,0,24062722048
62,0,17316,0,0,18157142016
63,0,16573,0,0,17378050048
64,0,14489,0,0,15192817664
65,0,20591,0,0,21591228416
66,0,32280,0,0,33848033280
67,0,29974,0,0,31430017024
68,0,41175,0,0,43175116800
69,0,28004,0,0,29364322304
70,0,23001,0,0,24118296576
71,0,37576,0,0,39401291776
72,0,17756,0,0,18618515456
73,0,25190,0,0,26413629440
74,0,23526,0,0,24668798976
75,0,16833,0,0,17650679808
76,0,24518,0,0,25708986368
77,0,24262,0,0,25440550912
78,0,25816,0,0,27070038016
79,0,25412,0,0,26646413312
80,0,26242,0,0,27516731392
81,0,28198,0,0,29567746048
82,0,27464,0,0,28798091264
83,0,28613,0,0,30002905088
84,0,20266,0,0,21250441216
85,0,50091,0,0,52524220416
86,0,23010,0,0,24127733760
87,0,29136,0,0,30551310336
88,0,21410,0,0,22450012160
89,0,21620,0,0,22670213120
90,0,22708,0,0,23811063808
91,0,24978,0,0,26191331328
92,0,28587,0,0,29975642112
93,0,35616,0,0,37346082816
94,0,34520,0,0,36196843520
95,0,30132,0,0,31595692032
96,0,22407,0,0,23495442432
97,0,31128,0,0,32640073728
98,0,32905,0,0,34503393280
99,0,25029,0,0,26244808704
100,0,22507,0,0,23600300032
101,0,22792,0,0,23899144192
102,0,28044,0,0,29406265344
103,0,22743,0,0,23847763968
104,0,23050,0,0,24169676800
105,0,25680,0,0,26927431680
106,0,31170,0,0,32684113920
107,0,20196,0,0,21177040896
108,0,22035,0,0,23105372160
109,0,22920,0,0,24033361920
110,0,30705,0,0,32196526080
111,0,23847,0,0,25005391872
112,0,16732,0,0,17544773632
113,0,52905,0,0,55474913280
114,0,25201,0,0,26425163776
115,0,19028,0,0,19952304128
116,0,21838,0,0,22898802688
117,0,36709,0,0,38492176384
118,0,23496,0,0,24637341696
119,0,24227,0,0,25403850752
120,0,15688,0,0,16450060288
121,0,24409,0,0,25594691584
122,0,27816,0,0,29167190016
123,0,28095,0,0,29459742720
124,0,20842,0,0,21854420992
125,0,23347,0,0,24481103872
126,0,36659,0,0,38439747584
127,0,35476,0,0,37199282176
128,0,26603,0,0,27895267328
129,0,26450,0,0,27734835200
130,0,25678,0,0,26925334528
131,0,21185,0,0,22214082560
132,0,30898,0,0,32398901248
133,0,24854,0,0,26061307904
134,0,22029,0,0,23099080704
135,0,23896,0,0,25056772096
136,0,29043,0,0,30453792768
137,0,20949,0,0,21966618624
138,0,32295,0,0,33863761920
139,0,21994,0,0,23062380544
140,0,22619,0,0,23717740544
141,0,24895,0,0,26104299520
142,0,30562,0,0,32046579712
143,0,34285,0,0,35950428160
144,0,19613,0,0,20565721088
145,0,38383,0,0,40247492608
146,0,26575,0,0,27865907200
147,0,17338,0,0,18180210688
148,0,20768,0,0,21776826368
149,0,22914,0,0,24027070464
150,0,28668,0,0,30060576768
151,0,19814,0,0,20776484864
152,0,22334,0,0,23418896384
153,0,30182,0,0,31648120832
154,0,26353,0,0,27633123328
155,0,19554,0,0,20503855104
156,0,15600,0,0,16357785600
157,0,20874,0,0,21887975424
158,0,19505,0,0,20452474880
159,0,32231,0,0,33796653056
160,0,27460,0,0,28793896960
161,0,28582,0,0,29970399232
162,0,24208,0,0,25383927808
163,0,17441,0,0,18288214016
164,0,22051,0,0,23122149376
165,0,22431,0,0,23520608256
166,0,22449,0,0,23539482624
167,0,27557,0,0,28895608832
168,0,21883,0,0,22945988608
169,0,19385,0,0,20326645760
170,0,17418,0,0,18264096768
171,0,15133,0,0,15868100608
172,0,21411,0,0,22451060736
173,0,22228,0,0,23307747328
174,0,16975,0,0,17799577600
175,0,35059,0,0,36762025984
176,0,22419,0,0,23508025344
177,0,18131,0,0,19011731456
178,0,22394,0,0,23481810944
179,0,34857,0,0,36550213632
180,0,21667,0,0,22719496192
181,0,20895,0,0,21909995520
182,0,36329,0,0,38093717504
183,0,28823,0,0,30223106048
184,0,39727,0,0,41656778752
185,0,19104,0,0,20031995904
186,0,21302,0,0,22336765952
187,0,24374,0,0,25557991424
188,0,25908,0,0,27166507008
189,0,26100,0,0,27367833600
190,0,30113,0,0,31575769088
191,0,18988,0,0,19910361088
192,0,20185,0,0,21165506560
193,0,15779,0,0,16545480704
194,0,19039,0,0,19963838464
195,0,24350,0,0,25532825600
196,0,21698,0,0,22752002048
197,0,22501,0,0,23594008576
198,0,16718,0,0,17530093568
199,0,29274,0,0,30696013824
200,0,24275,0,0,25454182400
201,0,20292,0,0,21277704192
202,0,18959,0,0,19879952384
203,0,18427,0,0,19322109952
204,0,14558,0,0,15265169408
205,0,25345,0,0,26576158720
206,0,13653,0,0,14316208128
207,0,20901,0,0,21916286976
208,0,24116,0,0,25287458816
209,0,25375,0,0,26607616000
210,0,18652,0,0,19558039552
211,0,14702,0,0,15416164352
212,0,24738,0,0,25939673088
213,0,30571,0,0,32056016896
214,0,55271,0,0,57955844096
215,0,22707,0,0,23810015232
216,0,14828,0,0,15548284928
217,0,28872,0,0,30274486272
218,0,18542,0,0,19442696192
219,0,19636,0,0,20589838336
220,0,16666,0,0,17475567616
221,0,21151,0,0,22178430976
222,0,21641,0,0,22692233216
223,0,28531,0,0,29916921856
224,0,20644,0,0,21646802944
225,0,18741,0,0,19651362816
226,0,21764,0,0,22821208064
227,0,19510,0,0,20457717760
228,0,18465,0,0,19361955840
229,0,41261,0,0,43265294336
230,0,11206,0,0,11750342656
231,0,12518,0,0,13126074368
232,0,19339,0,0,20278411264
233,0,12942,0,0,13570670592
234,0,28273,0,0,29646389248
235,0,19142,0,0,20071841792
236,0,17282,0,0,18121490432
237,0,18960,0,0,19881000960
238,0,32931,0,0,34530656256
239,0,24938,0,0,26149388288
240,0,27337,0,0,28664922112
241,0,24213,0,0,25389170688
242,0,29365,0,0,30791434240
243,0,27841,0,0,29193404416
244,0,21193,0,0,22222471168
245,0,22086,0,0,23158849536
246,0,24363,0,0,25546457088
247,0,29294,0,0,30716985344
248,0,23322,0,0,24454889472
249,0,24182,0,0,25356664832
250,0,30544,0,0,32027705344
251,0,17352,0,0,18194890752
252,0,30592,0,0,32078036992
253,0,30595,0,0,32081182720
254,0,40663,0,0,42638245888
255,0,19946,0,0,20914896896
256,0,18763,0,0,19674431488
257,0,28942,0,0,30347886592
258,0,20599,0,0,21599617024
259,0,23487,0,0,24627904512
260,0,26163,0,0,27433893888
261,0,39094,0,0,40993030144
262,0,54885,0,0,57551093760
263,0,29377,0,0,30804017152
264,0,30976,0,0,32480690176
265,0,26924,0,0,28231860224
266,0,25441,0,0,26676822016
267,0,31295,0,0,32815185920
268,0,23589,0,0,24734859264
269,0,21436,0,0,22477275136
270,0,35014,0,0,36714840064
271,0,35740,0,0,37476106240
272,0,46261,0,0,48508174336
273,0,47787,0,0,50108301312
274,0,20917,0,0,21933064192
275,0,24397,0,0,25582108672
276,0,26649,0,0,27943501824
277,0,23698,0,0,24849154048
278,0,14452,0,0,15154020352
279,0,16545,0,0,17348689920
280,0,25711,0,0,26959937536
281,0,27368,0,0,28697427968
282,0,20091,0,0,21066940416
283,0,30752,0,0,32245809152
284,0,21626,0,0,22676504576
285,0,25642,0,0,26887585792
286,0,37837,0,0,39674970112
287,0,24837,0,0,26043482112
288,0,15202,0,0,15940452352
289,0,21628,0,0,22678601728
290,0,16098,0,0,16879976448
291,0,22217,0,0,23296212992
292,0,18811,0,0,19724763136
293,0,23388,0,0,24524095488
294,0,16605,0,0,17411604480
295,0,18071,0,0,18948816896
296,0,24367,0,0,25550651392
297,0,16937,0,0,17759731712
298,0,19352,0,0,20292042752
299,0,6603,0,0,6923747328
300,0,13916,0,0,14591983616
301,0,19491,0,0,20437794816
302,0,8116,0,0,8510242816
303,0,22647,0,0,23747100672
304,0,19119,0,0,20047724544
305,0,31935,0,0,33486274560
306,0,27248,0,0,28571598848
307,0,23309,0,0,24441257984
308,0,29694,0,0,31136415744
309,0,26676,0,0,27971813376
310,0,33937,0,0,35585523712
311,0,136,0,0,142606336
312,0,18808,0,0,19721617408
313,0,27012,0,0,28324134912
314,0,22556,0,0,23651680256
315,0,21384,0,0,22422749184
316,0,23634,0,0,24782045184
317,0,23576,0,0,24721227776
318,0,36370,0,0,38136709120
319,0,18940,0,0,19860029440
320,0,26800,0,0,28101836800
321,0,25651,0,0,26897022976
322,0,24543,0,0,25735200768
323,0,25768,0,0,27019706368
324,0,20677,0,0,21681405952
325,0,21040,0,0,22062039040
326,0,17478,0,0,18327011328
327,0,18683,0,0,19590545408
328,0,22994,0,0,24110956544
329,0,18636,0,0,19541262336
330,0,22484,0,0,23576182784
331,0,19078,0,0,20004732928
332,0,18211,0,0,19095617536
333,0,17347,0,0,18189647872
334,0,32295,0,0,33863761920
335,0,21755,0,0,22811770880
336,0,29172,0,0,30589059072
337,0,24201,0,0,25376587776
338,0,16962,0,0,17785946112
339,0,19466,0,0,20411580416
340,0,22547,0,0,23642243072
341,0,23726,0,0,24878514176
342,0,33941,0,0,35589718016
343,0,18473,0,0,19370344448
344,0,17422,0,0,18268291072
345,0,20065,0,0,21039677440
346,0,26368,0,0,27648851968
347,0,23116,0,0,24238882816
348,0,20783,0,0,21792555008
349,0,14038,0,0,14719909888
350,0,12405,0,0,13007585280
351,0,16304,0,0,17095983104
352,0,18523,0,0,19422773248
353,0,14077,0,0,14760804352
354,0,17479,0,0,18328059904
355,0,31061,0,0,32569819136
356,0,15855,0,0,16625172480
357,0,25467,0,0,26704084992
358,0,30201,0,0,31668043776
359,0,17125,0,0,17956864000
360,0,13498,0,0,14153678848
361,0,12270,0,0,12866027520
362,0,13764,0,0,14432600064
363,0,12779,0,0,13399752704
364,0,12945,0,0,13573816320
365,0,13754,0,0,14422114304
366,0,18605,0,0,19508756480
367,0,21424,0,0,22464692224
368,0,14486,0,0,15189671936
369,0,13712,0,0,14378074112
370,0,16382,0,0,17177772032
371,0,15423,0,0,16172187648
372,0,17169,0,0,18003001344
373,0,12215,0,0,12808355840
374,0,21440,0,0,22481469440
375,0,12614,0,0,13226737664
376,0,18759,0,0,19670237184
377,0,16844,0,0,17662214144
378,0,12071,0,0,12657360896
379,0,13374,0,0,14023655424
380,0,13140,0,0,13778288640
381,0,16024,0,0,16802381824
382,0,20492,0,0,21487419392
383,0,9103,0,0,9545187328
384,0,10527,0,0,11038359552
385,0,16741,0,0,17554210816
386,0,13293,0,0,13938720768
387,0,11485,0,0,12042895360
388,0,24568,0,0,25761415168
389,0,14622,0,0,15332278272
390,0,17402,0,0,18247319552
391,0,15551,0,0,16306405376
392,0,12328,0,0,12926844928
393,0,14388,0,0,15086911488
394,0,14639,0,0,15350104064
395,0,21779,0,0,22836936704
396,0,12869,0,0,13494124544
397,0,18903,0,0,19821232128
398,0,15748,0,0,16512974848
399,0,23740,0,0,24893194240
400,0,18629,0,0,19533922304
401,0,15936,0,0,16710107136
402,0,20990,0,0,22009610240
403,0,15768,0,0,16533946368
404,0,17596,0,0,18450743296
405,0,19092,0,0,20019412992
406,0,17377,0,0,18221105152
407,0,21094,0,0,22118662144
408,0,16504,0,0,17305698304
409,0,17554,0,0,18406703104
410,0,26303,0,0,27580694528
411,0,21122,0,0,22148022272
412,0,35077,0,0,36780900352
413,0,31043,0,0,32550944768
414,0,27030,0,0,28343009280
415,0,36856,0,0,38646317056
416,0,53395,0,0,55988715520
417,0,6933,0,0,7269777408
