HR,WSS
1,12006195200
2,24891097088
3,36016488448
4,48570040320
5,63131615232
6,73101475840
7,83529564160
8,94663344128
9,109619183616
10,121767985152
11,133288689664
12,148707999744
13,158907498496
14,171041619968
15,183378116608
16,196557668352
17,206287405056
18,218303037440
19,228089397248
20,236976078848
21,246067232768
22,256331743232
23,265848619008
24,275903414272
25,285404561408
26,296018247680
27,306009079808
28,317657710592
29,329762471936
30,339213287424
31,348218458112
32,356759109632
33,366463680512
34,374537715712
35,382088511488
36,388642111488
37,396402622464
38,404008992768
39,409765675008
40,417459077120
41,424160526336
42,433347100672
43,440624218112
44,449277067264
45,457437085696
46,467162628096
47,476035678208
48,481604665344
49,491367956480
50,501603106816
51,509118251008
52,519599816704
53,530530172928
54,540938338304
55,549711773696
56,558260813824
57,569406128128
58,579152642048
59,586759012352
60,594172444672
61,602261159936
62,610112897024
63,619093950464
64,625663279104
65,633351438336
66,642043084800
67,650985340928
68,661934571520
69,671683182592
70,682992074752
71,693959131136
72,702845812736
73,712812527616
74,724424458240
75,733453746176
76,744154464256
77,755553533952
78,767898419200
79,780047220736
80,793680805888
81,805150130176
82,816650911744
83,827936735232
84,838910083072
85,850701320192
86,863528550400
87,875381653504
88,886086565888
89,898765946880
90,907073814528
91,915657457664
92,923299479552
93,934383976448
94,944367468544
95,954347814912
96,963782901760
97,974616788992
98,983857889280
99,995490791424
100,1004449824768
101,1013812559872
102,1023741526016
103,1035350310912
104,1045558198272
105,1053469704192
106,1063889403904
107,1075048349696
108,1085038133248
109,1094590660608
110,1107022577664
111,1117081567232
112,1125893799936
113,1137155506176
114,1147906555904
115,1157168627712
116,1167138488320
117,1176899682304
118,1186018099200
119,1195040047104
120,1202883395584
121,1213843111936
122,1223428145152
123,1231596552192
124,1241489866752
125,1251632742400
126,1263218458624
127,1273644449792
128,1283753771008
129,1293672251392
130,1306025525248
131,1313554300928
132,1322153672704
133,1331142066176
134,1340982951936
135,1351128973312
136,1363456032768
137,1373445816320
138,1383526825984
139,1392527802368
140,1400838815744
141,1409824063488
142,1418671947776
143,1428213989376
144,1437483401216
145,1444978622464
146,1454461943808
147,1461645737984
148,1472302415872
149,1482194681856
150,1493416542208
151,1501760061440
152,1510430736384
153,1524291862528
154,1531854192640
155,1541691932672
156,1548078809088
157,1556627849216
158,1564679864320
159,1573071618048
160,1586287869952
161,1595048722432
162,1606120636416
163,1614058356736
164,1625103007744
165,1633141391360
166,1639625785344
167,1646574698496
168,1657413828608
169,1666935947264
170,1675545804800
171,1683474087936
172,1693444997120
173,1703740964864
174,1711030665216
175,1720100847616
176,1729594654720
177,1739717607424
178,1749641330688
179,1758190370816
180,1765188567040
181,1773324468224
182,1782289793024
183,1791766822912
184,1799952007168
185,1808282943488
186,1818200375296
187,1827313549312
188,1836032458752
