HR,WSS
1,10043260928
2,22865248256
3,33830207488
4,45778731008
5,57624494080
6,69210210304
7,77658587136
8,89379569664
9,103319339008
10,113715970048
11,123234942976
12,138900668416
13,147302907904
14,158919032832
15,171281743872
16,182999580672
17,192762871808
18,203204591616
19,210813059072
20,219168112640
21,227989782528
22,239997026304
23,249717325824
24,259684040704
25,268135563264
26,277580087296
27,285860691968
28,299033952256
29,312161075200
30,321016299520
31,329856843776
32,337557585920
33,346809171968
34,355201974272
35,361986260992
36,368223191040
37,375591534592
38,381756112896
39,386648768512
40,394892673024
41,401344561152
42,409992167424
43,416963100672
44,425243705344
45,432711663616
46,442431963136
47,451320741888
48,456642265088
49,466383536128
50,476081815552
51,483479519232
52,493566820352
53,505251102720
54,516995153920
55,525385859072
56,533556363264
57,543442337792
58,553455190016
59,560392568832
60,567779786752
61,574102700032
62,581037981696
63,588843581440
64,595728531456
65,603753283584
66,612326440960
67,620386844672
68,630244507648
69,637454516224
70,649942007808
71,659709493248
72,667430158336
73,674932719616
74,684832325632
75,694332424192
76,704750026752
77,714054041600
78,724628930560
79,736770392064
80,748984205312
81,759528685568
82,770602696704
83,779698044928
84,790654615552
85,802198388736
86,814815903744
87,825971703808
88,835703537664
89,849947394048
90,858059177984
91,867567665152
92,875484413952
93,885007581184
94,893658333184
95,900980539392
96,909914406912
97,918673162240
98,927721324544
99,939261952000
100,947298238464
101,956528852992
102,965871665152
103,977390272512
104,987125252096
105,996737548288
106,1006780809216
107,1017144934400
108,1026750939136
109,1036518424576
110,1048292884480
111,1056711901184
112,1065374187520
113,1074031230976
114,1085479583744
115,1094313836544
116,1103070494720
117,1112745705472
118,1120699154432
119,1129628827648
120,1138315231232
121,1147316207616
122,1157513609216
123,1166648803328
124,1175067820032
125,1186269757440
126,1196591939584
127,1206225207296
128,1214840307712
129,1226424975360
130,1238732111872
131,1245245865984
132,1253682708480
133,1262639644672
134,1271904862208
135,1281444806656
136,1291597119488
137,1302817931264
138,1311783256064
139,1320999190528
140,1329072177152
141,1339586248704
142,1348367024128
143,1359952740352
144,1370855833600
145,1377772240896
146,1386733371392
147,1393936039936
148,1405459890176
149,1416970108928
150,1428128006144
151,1437681582080
152,1445585747968
153,1458191728640
154,1464912052224
155,1472669417472
156,1480433074176
157,1487513059328
158,1494723067904
159,1501309173760
