key,src,size,dram,oscm,osc,dl,total
4096B/key0,2,4096,73,1104,0,416374,417665
4096B/key1,2,4096,88,1664,0,445110,446928
4096B/key2,2,4096,101,1234,0,401576,402980
4096B/key3,2,4096,84,1229,0,411862,413247
4096B/key4,2,4096,75,1171,0,410535,411868
4096B/key5,2,4096,89,1195,0,396642,398010
4096B/key6,2,4096,71,1262,0,408887,410306
4096B/key7,2,4096,76,1228,0,395492,396873
4096B/key8,2,4096,78,1251,0,403795,405204
4096B/key9,2,4096,76,1287,0,403662,405118
4096B/key10,2,4096,67,1201,0,445869,447217
4096B/key11,2,4096,76,1154,0,402796,404105
4096B/key12,2,4096,75,1259,0,412282,413700
4096B/key13,2,4096,76,1230,0,398162,399555
4096B/key14,2,4096,76,1180,0,579420,580763
4096B/key15,2,4096,81,1216,0,418615,419998
4096B/key16,2,4096,71,1218,0,399259,400643
4096B/key17,2,4096,82,1258,0,422466,423870
4096B/key18,2,4096,97,1330,0,430896,432389
4096B/key19,2,4096,83,1130,0,419093,420377
4096B/key20,2,4096,78,1390,0,396057,397601
4096B/key21,2,4096,83,1351,0,130450,131958
4096B/key22,2,4096,75,1188,0,117342,118678
4096B/key23,2,4096,70,1124,0,122694,123958
4096B/key24,2,4096,73,1150,0,106091,107381
4096B/key25,2,4096,79,1191,0,122764,124100
4096B/key26,2,4096,67,1095,0,130537,131756
4096B/key27,2,4096,72,1159,0,117042,118339
4096B/key28,2,4096,65,1114,0,120062,121306
4096B/key29,2,4096,69,1119,0,124320,125592
4096B/key30,2,4096,80,1120,0,114945,116216
4096B/key31,2,4096,70,1162,0,155452,156782
4096B/key32,2,4096,75,1237,0,117142,118549
4096B/key33,2,4096,74,1157,0,413551,414886
4096B/key34,2,4096,69,1148,0,421159,422461
4096B/key35,2,4096,79,1241,0,424227,425635
4096B/key36,2,4096,84,1227,0,426897,428299
4096B/key37,2,4096,80,1231,0,424572,425969
4096B/key38,2,4096,109,1342,0,455582,457115
4096B/key39,2,4096,83,1201,0,388939,390306
