key,latency(us)
key0,416040
key1,408981
key2,408860
key3,388061
key4,415168
key5,410225
key6,403990
key7,390177
key8,394295
key9,401801
key10,410873
key11,409346
key12,418056
key13,415516
key14,417769
key15,430076
key16,423376
key17,544507
key18,456559
key19,234726
key20,414224
key21,114572
key22,115749
key23,120342
key24,120901
key25,108931
key26,129935
key27,120985
key28,119502
key29,124800
key30,424124
key31,441146
key32,417557
key33,415635
key34,403114
key35,426238
key36,413382
key37,415252
key38,390726
key39,406585
key40,438150
key41,400666
key42,404790
key43,405474
key44,417776
key45,419010
key46,411382
key47,428481
key48,423474
key49,432991
key50,424499
key51,388287
key52,417161
key53,412082
key54,437663
key55,432048
key56,415929
key57,400763
key58,115686
key59,121048
key60,110064
key61,134162
key62,134865
key63,136717
key64,122966
key65,114913
key66,139655
key67,117364
key68,404746
key69,402239
key70,406067
key71,387437
key72,421492
key73,420860
key74,421704
key75,440971
key76,415038
key77,434153
key78,414324
key79,423047
key80,430087
key81,416186
key82,420983
key83,413284
key84,413026
key85,402184
key86,414296
key87,408211
key88,403430
key89,410015
key90,415334
key91,472580
key92,432532
key93,500092
key94,448034
key95,119582
key96,125752
key97,150164
key98,111447
key99,118481
key100,118837
key101,125875
key102,149762
key103,115960
key104,127672
key105,124453
key106,138493
key107,123585
key108,124058
key109,407894
key110,402447
key111,388747
key112,420268
key113,404480
key114,397113
key115,401115
key116,413954
key117,444587
key118,409190
key119,415183
key120,402506
key121,408424
key122,402868
key123,418169
key124,409915
key125,407058
key126,414931
key127,419350
key128,417132
key129,470827
key130,433142
key131,407371
key132,420854
key133,428366
key134,528360
key135,408824
key136,118962
key137,126669
key138,123376
key139,134592
key140,122928
key141,118689
key142,113069
key143,129542
key144,116139
key145,125703
key146,106827
key147,146183
key148,123220
key149,130732
key150,127847
key151,409760
key152,407465
key153,406103
key154,420873
key155,411363
key156,400970
key157,399030
key158,407707
key159,436714
key160,410622
key161,425542
key162,407352
key163,412647
key164,417696
key165,425120
key166,434747
key167,429759
key168,424530
key169,415333
key170,430134
key171,406490
key172,403141
key173,413594
key174,424878
key175,429542
key176,473964
key177,390053
key178,118200
key179,125955
key180,119916
key181,108499
key182,126028
key183,138284
key184,123948
key185,124984
key186,120348
key187,106169
key188,122553
key189,114861
key190,119123
key191,125336
key192,117597
key193,124916
key194,402969
key195,417355
key196,420413
key197,431717
key198,408770
key199,420960
key200,405585
key201,407679
key202,403218
key203,407768
key204,419064
key205,407150
key206,415493
key207,574518
key208,415640
key209,411614
key210,425332
key211,426439
key212,416332
key213,421363
key214,409585
key215,430177
key216,407188
key217,414619
key218,418358
key219,412604
key220,425309
key221,110316
key222,107627
key223,123609
key224,117442
key225,117961
key226,119857
key227,121574
key228,132336
key229,118454
key230,111034
key231,125113
key232,119311
key233,115199
key234,107767
key235,419749
key236,401702
key237,399982
key238,405744
key239,412847
key240,420732
key241,407315
key242,388275
key243,398494
key244,400372
key245,489269
key246,390466
key247,405227
key248,388356
key249,408356
key250,402612
key251,420079
key252,403782
key253,434501
key254,437322
key255,409379
key256,416493
key257,406686
key258,414029
key259,413397
key260,451012
key261,399883
key262,117996
key263,115363
key264,112241
key265,120172
key266,122903
key267,166894
key268,118202
key269,123058
key270,134433
key271,118140
key272,123213
key273,115783
key274,410656
key275,402300
key276,404909
key277,411482
key278,420090
key279,421454
key280,413183
key281,406483
key282,475182
key283,411102
key284,417319
key285,395702
key286,397020
key287,433337
key288,419139
key289,417091
key290,390957
key291,402911
key292,417466
key293,403101
key294,407745
key295,406925
key296,394618
key297,411646
key298,411299
key299,434822
key300,406819
key301,119527
key302,120057
key303,121290
key304,120972
key305,120531
key306,118526
key307,132020
key308,119672
key309,110951
key310,122283
key311,128932
key312,115052
key313,118055
key314,132157
key315,145563
key316,117637
key317,120917
key318,145834
key319,403735
key320,407808
key321,397762
key322,426307
key323,449204
key324,408939
key325,422759
key326,414913
key327,407704
key328,410942
key329,418532
key330,400720
key331,418409
key332,423130
key333,402609
key334,420998
key335,406471
key336,425568
key337,412861
key338,416677
key339,399818
key340,416353
key341,400067
key342,408136
key343,433971
key344,501344
key345,399498
key346,128462
key347,124926
key348,128714
key349,118718
key350,124219
key351,127601
key352,126963
key353,123733
key354,108760
key355,119233
key356,118475
key357,136457
key358,112633
key359,166096
key360,115748
key361,425053
key362,467358
key363,436632
key364,411001
key365,415164
key366,411302
key367,422828
key368,431563
key369,407638
key370,414558
key371,421106
key372,423760
key373,426145
key374,405817
key375,400648
key376,424924
key377,425615
key378,416577
key379,398013
key380,414197
key381,413440
key382,426511
key383,417430
key384,409270
key385,415770
key386,451791
key387,432011
key388,118546
key389,107253
key390,106396
key391,123102
key392,124774
key393,421538
key394,166431
key395,120655
key396,110740
key397,133863
key398,137699
key399,113101
key400,398185
key401,406477
key402,431040
key403,398758
key404,417909
key405,403784
key406,416035
key407,417805
key408,413498
key409,417048
key410,404442
key411,412328
key412,405443
key413,416100
key414,421417
key415,416584
key416,415754
key417,401774
key418,393298
key419,424948
key420,428985
key421,408696
key422,425129
key423,413646
key424,396845
key425,415792
key426,433039
key427,488876
key428,126597
key429,119962
key430,123754
key431,107765
key432,123907
key433,426274
key434,110711
key435,117991
key436,120095
key437,115940
key438,114391
key439,116194
key440,109314
key441,107565
key442,119009
key443,128557
key444,410967
key445,421563
key446,413544
key447,411507
key448,413764
key449,422427
key450,401772
key451,413128
key452,413167
key453,410311
key454,426134
key455,404228
key456,411496
key457,407207
key458,413820
key459,415367
key460,428217
key461,415694
key462,412042
key463,426009
key464,423331
key465,414512
key466,493217
key467,427699
key468,426897
key469,416042
key470,406982
key471,405075
key472,106813
key473,115417
key474,118112
key475,108101
key476,111837
key477,132083
key478,117612
key479,108689
key480,123708
key481,124904
key482,133184
key483,109288
key484,404455
key485,411979
key486,459313
key487,414492
key488,397343
key489,398831
key490,420814
key491,403769
key492,393625
key493,418253
key494,415089
key495,395757
key496,429664
key497,412795
key498,418064
key499,417088
key500,455939
key501,419302
key502,412322
key503,424478
key504,421318
key505,405854
key506,412646
key507,425358
key508,418679
key509,551782
key510,432001
key511,408776
key512,113213
key513,126512
key514,108548
key515,118946
key516,118410
key517,123896
key518,119014
key519,118145
key520,396987
key521,420683
key522,393511
key523,415852
key524,417987
key525,423258
key526,413214
key527,405840
key528,414726
key529,412846
key530,407888
key531,416584
key532,417089
key533,421702
key534,395027
key535,418034
key536,692134
key537,422053
key538,410830
key539,418020
key540,425976
key541,423859
key542,389152
key543,418482
key544,438976
key545,428756
key546,115423
key547,125540
key548,133074
key549,426666
key550,134635
key551,125167
key552,119500
key553,123205
key554,125415
key555,122145
key556,114929
key557,116302
key558,114104
key559,115502
key560,117816
key561,416175
key562,418275
key563,403922
key564,422799
key565,422071
key566,400562
key567,418534
key568,405424
key569,399732
key570,425740
key571,393511
key572,410440
key573,401168
key574,410724
key575,491182
key576,409078
key577,431515
key578,406062
key579,407962
key580,407342
key581,405284
key582,388355
key583,394363
key584,402425
key585,433044
key586,477655
key587,407385
key588,406807
key589,119751
key590,108676
key591,120074
key592,119662
key593,125500
key594,108849
key595,121570
key596,125935
key597,129149
key598,144931
key599,110750
key600,131809
key601,126076
key602,134238
key603,121532
key604,424995
key605,405740
key606,410203
key607,425691
key608,412076
key609,403673
key610,454918
key611,412612
key612,401124
key613,403880
key614,411620
key615,413534
key616,410883
key617,412001
key618,403309
key619,399332
key620,405042
key621,401487
key622,412503
key623,403302
key624,415312
key625,401623
key626,401909
key627,411424
key628,444597
key629,487559
key630,407436
key631,117812
key632,128463
key633,128895
key634,116809
key635,126327
key636,117734
key637,120890
key638,116769
key639,130078
key640,109551
key641,121439
key642,132791
key643,117462
key644,123181
key645,119849
key646,122872
key647,409657
key648,393241
key649,419731
key650,419330
key651,406974
key652,410825
key653,426621
key654,409716
key655,418503
key656,418798
key657,416830
key658,426853
key659,408587
key660,415169
key661,438314
key662,418120
key663,421943
key664,410659
key665,405969
key666,399864
key667,403324
key668,420832
key669,429169
key670,406886
key671,422108
key672,563830
key673,399102
key674,117310
key675,441500
key676,117735
key677,121502
key678,121351
key679,118494
key680,121291
key681,122469
key682,131559
key683,403337
key684,430473
key685,405133
key686,431680
key687,434024
key688,458458
key689,414999
key690,425470
key691,406877
key692,398307
key693,413672
key694,417008
key695,408845
key696,417501
key697,418332
key698,416463
key699,450175
key700,415722
key701,418087
key702,409614
key703,411069
key704,398124
key705,407381
key706,399255
key707,415501
key708,477853
key709,418195
key710,110113
key711,123380
key712,115159
key713,110168
key714,115901
key715,122971
key716,130822
key717,116034
key718,111589
key719,108901
key720,128447
key721,416105
key722,409103
key723,453252
key724,423120
key725,402307
key726,397081
key727,420038
key728,401928
key729,403221
key730,412431
key731,412265
key732,389548
key733,397979
key734,435977
key735,403149
key736,400332
key737,424841
key738,423494
key739,402324
key740,407858
key741,395085
key742,409983
key743,457470
key744,405513
key745,413382
key746,518322
key747,426215
key748,139337
key749,130436
key750,126084
key751,118050
key752,131706
key753,125164
key754,132267
key755,145205
key756,118406
key757,126885
key758,125743
key759,132888
key760,122940
key761,124176
key762,406713
key763,401185
key764,413932
key765,412019
key766,414944
key767,397973
key768,412544
key769,416606
key770,421005
key771,415942
key772,428813
key773,411704
key774,406109
key775,419529
key776,407299
key777,398129
key778,423836
key779,410341
key780,405101
key781,411523
key782,418959
key783,391349
key784,417566
key785,410381
key786,411841
key787,499069
key788,409895
key789,108783
key790,433184
key791,115418
key792,107944
key793,122432
key794,120986
key795,119331
key796,116049
key797,116062
key798,118063
key799,127121
key800,120234
key801,129548
key802,128771
key803,115613
key804,415787
key805,409257
key806,415421
key807,418977
key808,412220
key809,412819
key810,423926
key811,420050
key812,408777
key813,402009
key814,414333
key815,416832
key816,418284
key817,415036
key818,418947
key819,432162
key820,418645
key821,411470
key822,422662
key823,419336
key824,419735
key825,418337
key826,431578
key827,412959
key828,426561
key829,423156
key830,413395
key831,126668
key832,134822
key833,129870
key834,389835
key835,121640
key836,108406
key837,108412
key838,108227
key839,124061
key840,121166
key841,120070
key842,117762
key843,117602
key844,123852
key845,133906
key846,110102
key847,399847
key848,416333
key849,403237
key850,417369
key851,416224
key852,427306
key853,438854
key854,435509
key855,414649
key856,405444
key857,425214
key858,408503
key859,420932
key860,421372
key861,420775
key862,420234
key863,425885
key864,423288
key865,416507
key866,436240
key867,461004
key868,401134
key869,398429
key870,412091
key871,518438
key872,411274
key873,421259
key874,124625
key875,122585
key876,108918
key877,122484
key878,123417
key879,120854
key880,119854
key881,130538
key882,135569
key883,116068
key884,403091
key885,436137
key886,402809
key887,419853
key888,419410
key889,417797
key890,425730
key891,401753
key892,428343
key893,406128
key894,419976
key895,405639
key896,435300
key897,418221
key898,410377
key899,423063
key900,432434
key901,406720
key902,498497
key903,398051
key904,388729
key905,403054
key906,419067
key907,418975
key908,416985
key909,483679
key910,407360
key911,120423
key912,123149
key913,125738
key914,149560
key915,125098
key916,125028
key917,137240
key918,112675
key919,126622
key920,122346
key921,401289
key922,396684
key923,431648
key924,405148
key925,410895
key926,421846
key927,421161
key928,415847
key929,407426
key930,395286
key931,403545
key932,399535
key933,389475
key934,410003
key935,417008
key936,428014
key937,478463
key938,410663
key939,406187
key940,426276
key941,406683
key942,411780
key943,425242
key944,417724
key945,410998
key946,494209
key947,427463
key948,402380
key949,406562
key950,145944
key951,109515
key952,124634
key953,124105
key954,128531
key955,120993
key956,128574
key957,132980
key958,411852
key959,424675
key960,419346
key961,412008
key962,386536
key963,408894
key964,413104
key965,419612
key966,415535
key967,422430
key968,404547
key969,406720
key970,432849
key971,479195
key972,413845
key973,411277
key974,402372
key975,421509
key976,407369
key977,423905
key978,414302
key979,419339
key980,412476
key981,399130
key982,436866
key983,478972
key984,424425
key985,132560
key986,126063
key987,121113
key988,150856
key989,123233
key990,125398
key991,164785
key992,122517
key993,122473
key994,122722
key995,416897
key996,399487
key997,402091
key998,403217
key999,408083
