key,latency(us)
key0,1077
key1,959
key2,908
key3,880
key4,881
key5,854
key6,950
key7,877
key8,847
key9,920
key10,859
key11,857
key12,839
key13,843
key14,863
key15,895
key16,843
key17,833
key18,863
key19,863
key20,835
key21,831
key22,878
key23,832
key24,853
key25,845
key26,840
key27,855
key28,847
key29,837
key30,908
key31,861
key32,908
key33,840
key34,837
key35,831
key36,838
key37,855
key38,832
key39,843
key40,888
key41,835
key42,833
key43,842
key44,833
key45,839
key46,856
key47,854
key48,845
key49,893
key50,839
key51,844
key52,916
key53,837
key54,839
key55,851
key56,860
key57,836
key58,861
key59,946
key60,826
key61,829
key62,858
key63,840
key64,843
key65,846
key66,830
key67,838
key68,828
key69,837
key70,839
key71,856
key72,833
key73,845
key74,832
key75,829
key76,842
key77,901
key78,843
key79,832
key80,863
key81,844
key82,845
key83,841
key84,845
key85,845
key86,849
key87,840
key88,822
key89,863
key90,845
key91,847
key92,836
key93,851
key94,837
key95,840
key96,845
key97,824
key98,853
key99,839
key100,870
key101,835
key102,838
key103,832
key104,844
key105,874
key106,830
key107,857
key108,905
key109,854
key110,832
key111,847
key112,852
key113,842
key114,853
key115,853
key116,864
key117,861
key118,828
key119,829
key120,846
key121,844
key122,837
key123,865
key124,847
key125,860
key126,860
key127,835
key128,830
key129,839
key130,845
key131,838
key132,890
key133,827
key134,855
key135,864
key136,830
key137,831
key138,851
key139,844
key140,839
key141,852
key142,822
key143,854
key144,849
key145,857
key146,823
key147,840
key148,983
key149,831
key150,835
key151,859
key152,831
key153,841
key154,853
key155,846
key156,954
key157,836
key158,859
key159,878
key160,855
key161,898
key162,840
key163,880
key164,946
key165,871
key166,853
key167,879
key168,855
key169,873
key170,858
key171,863
key172,827
key173,852
key174,850
key175,884
key176,845
key177,861
key178,863
key179,947
key180,842
key181,841
key182,846
key183,849
key184,836
key185,898
key186,854
key187,876
key188,862
key189,852
key190,850
key191,860
key192,844
key193,836
key194,868
key195,855
key196,864
key197,846
key198,850
key199,834
key200,872
key201,844
key202,850
