key,latency(us)
key0,155864
key1,140594
key2,355677
key3,236582
key4,119829
key5,279270
key6,60528
key7,208173
key8,72857
key9,116215
key10,392071
key11,517955
key12,37419
key13,50592
key14,34629
key15,34992
key16,138058
key17,43821
key18,41011
key19,62533
key20,46264
key21,42268
key22,51252
key23,47519
key24,45023
key25,33411
key26,34663
key27,46837
key28,47151
key29,31234
key30,31501
key31,34692
key32,115338
key33,35187
key34,34501
key35,35138
key36,32526
key37,49793
key38,48931
key39,47846
key40,34216
key41,35071
key42,45100
key43,34922
key44,34101
key45,43656
key46,34139
key47,34560
key48,138198
key49,196082
key50,110765
key51,86985
key52,51904
key53,44398
key54,32580
key55,35309
key56,33929
key57,34862
key58,37506
key59,42083
key60,35938
key61,32291
key62,32318
key63,35339
key64,60570
key65,35272
key66,35911
key67,32755
key68,35349
key69,37887
key70,36275
key71,35216
key72,33859
key73,39185
key74,33029
key75,32989
key76,24395
key77,35970
key78,24057
key79,23629
key80,100447
key81,27241
key82,24656
key83,33014
key84,27752
key85,25245
key86,21968
key87,23849
key88,25707
key89,23166
key90,23755
key91,24851
key92,25571
key93,23173
key94,25791
key95,38217
key96,90511
key97,23588
key98,24150
key99,25174
key100,22160
key101,26065
key102,28156
key103,24854
key104,22593
key105,25358
key106,24802
key107,24220
key108,49256
key109,39684
key110,28433
key111,25874
key112,71122
key113,43234
key114,21737
key115,25151
key116,28765
key117,24385
key118,40018
key119,23184
key120,22047
key121,23817
key122,25292
key123,23518
key124,71523
key125,27526
key126,23309
key127,28186
key128,333111
key129,534785
key130,96083
key131,124754
key132,24146
key133,46863
key134,23570
key135,300503
key136,192993
key137,357676
key138,317594
key139,26092
key140,24423
key141,36019
key142,33832
key143,26233
key144,94938
key145,41000
key146,25747
key147,52777
key148,24396
key149,30298
key150,25290
key151,28896
key152,81689
key153,24644
key154,25506
key155,25184
key156,25253
key157,26021
key158,29530
key159,26698
key160,95745
key161,101467
key162,24818
key163,226348
key164,171396
key165,120866
key166,247454
key167,125592
key168,21888
key169,107829
key170,67257
key171,85026
key172,22984
key173,98892
key174,23184
key175,24186
key176,80966
key177,27707
key178,32127
key179,24872
key180,23889
key181,22608
key182,26437
key183,23870
key184,24063
key185,24283
key186,26388
key187,27261
key188,23668
key189,23646
key190,65536
key191,35098
key192,85681
key193,47942
key194,25483
key195,26261
key196,25709
key197,23466
key198,52726
key199,46110
key200,32622
key201,48483
key202,25347
key203,29760
key204,34936
key205,85212
key206,27347
key207,28840
key208,108781
key209,75821
key210,205574
key211,86120
key212,152906
key213,85729
key214,204903
key215,113949
key216,86409
key217,48793
key218,114742
key219,60292
key220,47627
key221,61114
key222,95505
key223,55916
key224,113820
key225,192636
key226,101738
key227,388811
key228,450685
key229,453261
key230,489201
key231,105342
key232,48884
key233,324411
key234,48190
key235,384346
key236,44629
key237,34177
key238,32494
key239,46703
key240,116631
key241,43456
key242,39979
key243,48274
key244,48497
key245,58805
key246,54856
key247,33200
key248,32606
key249,31730
key250,39770
key251,32634
key252,50824
key253,38776
key254,35322
key255,43079
key256,93537
key257,48668
key258,73893
key259,37028
key260,38623
key261,51507
key262,56185
