key,src,size,dram,oscm,osc,dl,total
1048576B/key0,2,1048576,98,1292,0,620838,622984
1048576B/key1,2,1048576,127,1410,0,745889,748624
1048576B/key2,2,1048576,111,1490,0,840981,844536
1048576B/key3,2,1048576,102,1425,0,1194953,1197207
1048576B/key4,2,1048576,105,2076,0,943851,946789
1048576B/key5,2,1048576,103,1369,0,642331,644966
1048576B/key6,2,1048576,95,1390,0,657466,660152
1048576B/key7,2,1048576,93,1360,0,672940,675601
1048576B/key8,2,1048576,98,1429,0,777536,780436
1048576B/key9,2,1048576,98,1407,0,667037,669928
1048576B/key10,2,1048576,97,1426,0,726358,729275
1048576B/key11,2,1048576,98,1438,0,662205,665102
1048576B/key12,2,1048576,97,1420,0,653229,655933
1048576B/key13,2,1048576,96,1327,0,670594,673217
1048576B/key14,2,1048576,85,1373,0,607116,609957
1048576B/key15,2,1048576,86,1436,0,690570,693599
1048576B/key16,2,1048576,109,1519,0,627653,630041
1048576B/key17,2,1048576,99,1399,0,610844,613118
1048576B/key18,2,1048576,94,1382,0,650695,652981
1048576B/key19,2,1048576,98,1556,0,762019,764422
1048576B/key20,2,1048576,99,1470,0,659688,662031
1048576B/key21,2,1048576,116,1585,0,530960,533385
1048576B/key22,2,1048576,92,1435,0,415481,417733
1048576B/key23,2,1048576,82,1423,0,684534,686832
1048576B/key24,2,1048576,116,1651,0,610902,613432
1048576B/key25,2,1048576,98,1413,0,660966,663235
1048576B/key26,2,1048576,94,1463,0,619796,622075
1048576B/key27,2,1048576,91,1406,0,661384,663617
1048576B/key28,2,1048576,118,1412,0,609799,612022
1048576B/key29,2,1048576,77,1404,0,605297,607462
1048576B/key30,2,1048576,95,1379,0,619504,621721
1048576B/key31,2,1048576,78,1456,0,656671,658985
1048576B/key32,2,1048576,107,1539,0,733242,735722
1048576B/key33,2,1048576,90,1399,0,612860,615050
1048576B/key34,2,1048576,86,1337,0,696249,698383
1048576B/key35,2,1048576,87,1371,0,915422,917587
1048576B/key36,2,1048576,77,1409,0,970327,972664
1048576B/key37,2,1048576,87,1404,0,756359,758631
1048576B/key38,2,1048576,109,1602,0,2325436,2327969
1048576B/key39,2,1048576,98,1447,0,653171,655467
1048576B/key40,2,1048576,92,1457,0,598966,601239
1048576B/key41,2,1048576,93,1382,0,616296,618463
1048576B/key42,2,1048576,88,1421,0,614361,616606
1048576B/key43,2,1048576,84,1409,0,588170,590391
1048576B/key44,2,1048576,85,1409,0,601855,604071
1048576B/key45,2,1048576,84,1373,0,650259,652472
1048576B/key46,2,1048576,84,1385,0,665966,668188
1048576B/key47,2,1048576,88,1372,0,676817,679161
1048576B/key48,2,1048576,117,1508,0,629913,632267
1048576B/key49,2,1048576,83,1236,0,609835,611863
1048576B/key50,2,1048576,91,1344,0,759741,761916
1048576B/key51,2,1048576,87,1291,0,842595,844691
