key,latency(us)
key0,300630
key1,302361
key2,293388
key3,308883
key4,452330
key5,287523
key6,110932
key7,284663
key8,96460
key9,107747
key10,89236
key11,112383
key12,100425
key13,113385
key14,101544
key15,90793
key16,100884
key17,93264
key18,87395
key19,298398
key20,295869
key21,272562
key22,299772
key23,295794
key24,292842
key25,283453
key26,297615
key27,285093
key28,281841
key29,297809
key30,285467
key31,285432
key32,284460
key33,294810
key34,294790
key35,316072
key36,380725
key37,278656
key38,301345
key39,301425
key40,282273
key41,294135
key42,284768
key43,276596
key44,287939
key45,287137
key46,281240
key47,281682
key48,290616
key49,293912
key50,293423
key51,284342
key52,305843
key53,313252
key54,318194
key55,287959
key56,102056
key57,86474
key58,97417
key59,88383
key60,119868
key61,104763
key62,88830
key63,89090
key64,93178
key65,92072
key66,97113
key67,96764
key68,86754
key69,97431
key70,93787
key71,274707
key72,283237
key73,274460
key74,305882
key75,280716
key76,294025
key77,271158
key78,292362
key79,303830
key80,283826
key81,276110
key82,310329
key83,296371
key84,292657
key85,296975
key86,480172
key87,291159
key88,287873
key89,290524
key90,291058
key91,294767
key92,300478
key93,294750
key94,271076
key95,288923
key96,299823
key97,292535
key98,286177
key99,292269
key100,287156
key101,288042
key102,284075
key103,282705
key104,281774
key105,283781
key106,321618
key107,280219
key108,92622
key109,97823
key110,106391
key111,102277
key112,87544
key113,101113
key114,95203
key115,87113
key116,94609
key117,92378
key118,103805
key119,84905
key120,90402
key121,86992
key122,299213
key123,278034
key124,303187
key125,277537
key126,279908
key127,272845
key128,272059
key129,283974
key130,283794
key131,280069
key132,270109
key133,284932
key134,282897
key135,282571
key136,343568
key137,279613
key138,283669
key139,277826
key140,297563
key141,284077
key142,282414
key143,281946
key144,299474
key145,293164
key146,297483
key147,302636
key148,289401
key149,276408
key150,293128
key151,308246
key152,282557
key153,283925
key154,290767
key155,284271
key156,281243
key157,305392
key158,360827
key159,285913
key160,101675
key161,284954
key162,87222
key163,89254
key164,89498
key165,89089
key166,88564
key167,91637
key168,108075
key169,89123
key170,102663
key171,90720
key172,97527
key173,85574
key174,88556
key175,289724
key176,291151
key177,287461
key178,309812
key179,288333
key180,288772
key181,282533
key182,297710
key183,276433
key184,297225
key185,300773
key186,340643
key187,275538
key188,284861
key189,289820
key190,288225
key191,287904
key192,310796
key193,292359
key194,272187
key195,302034
key196,283561
key197,275377
key198,304873
key199,283350
key200,285651
key201,282505
key202,288030
key203,276924
key204,303911
key205,280262
key206,290530
key207,280688
key208,284671
key209,311211
key210,312918
key211,412675
key212,110626
key213,91509
key214,89438
key215,100999
key216,275213
key217,280998
key218,107885
key219,93378
key220,94558
key221,89992
key222,89360
key223,95797
key224,84957
key225,95377
key226,91848
key227,275737
key228,285230
key229,273837
key230,305526
key231,275277
key232,277394
key233,264538
key234,404894
key235,380113
key236,271917
key237,275138
key238,318652
key239,272368
key240,287622
key241,274882
key242,273443
key243,282689
key244,273434
key245,275302
key246,273428
key247,287303
key248,277102
key249,296969
key250,271338
key251,276937
key252,284732
key253,282512
key254,294272
key255,294002
key256,285297
key257,289295
key258,295949
key259,289295
key260,295520
key261,299044
key262,300615
key263,357656
key264,283032
key265,289092
key266,88227
key267,91678
key268,85263
key269,98745
key270,93910
key271,93042
key272,96854
key273,87820
key274,91674
key275,92802
key276,273220
key277,293327
key278,282706
key279,292702
key280,282164
key281,332698
key282,420387
key283,288822
key284,275710
key285,291530
key286,291968
key287,290930
key288,276708
key289,286089
key290,282262
key291,279997
key292,289941
key293,285914
key294,314367
key295,293831
key296,281077
key297,303208
key298,285146
key299,296619
key300,278670
key301,289226
key302,289779
key303,295175
key304,287599
key305,282861
key306,297213
key307,308712
key308,292243
key309,307949
key310,284413
key311,378099
key312,288660
key313,112330
key314,96721
key315,89470
key316,105654
key317,86153
key318,95964
key319,95053
key320,96593
key321,85751
key322,84533
key323,88784
key324,96342
key325,94994
key326,89460
key327,101116
key328,86392
key329,93503
key330,275404
key331,275646
key332,282789
key333,383164
key334,312168
key335,283488
key336,289362
key337,295140
key338,280308
key339,282659
key340,295520
key341,282078
key342,298269
key343,292154
key344,278854
key345,287377
key346,280379
key347,298244
key348,271850
key349,292619
key350,292559
key351,284457
key352,290794
key353,293405
key354,275086
key355,300218
key356,286031
key357,275862
key358,295594
key359,288735
key360,291708
key361,280148
key362,297992
key363,284562
key364,298324
key365,300073
key366,374189
key367,284766
key368,88633
key369,92950
key370,102753
key371,90753
key372,94527
key373,87354
key374,89563
key375,110135
key376,87163
key377,91825
key378,94535
key379,93129
key380,97169
key381,299686
key382,300462
key383,287239
key384,282899
key385,294505
key386,301451
key387,279824
key388,327892
key389,283196
key390,285204
key391,279877
key392,286183
key393,292230
key394,295980
key395,291269
key396,289441
key397,286374
key398,280281
key399,275818
key400,284026
key401,291342
key402,289084
key403,293581
key404,287067
key405,278764
key406,281472
key407,293621
key408,284133
key409,289620
key410,298798
key411,291406
key412,288116
key413,285502
key414,278616
key415,280711
key416,307577
key417,314556
key418,271874
key419,92488
key420,90117
key421,90774
key422,85317
key423,92151
key424,85857
key425,99681
key426,87455
key427,84466
key428,122946
key429,95685
key430,89523
key431,115698
key432,409294
key433,278369
key434,292508
key435,285617
key436,274357
key437,278214
key438,281661
key439,291040
key440,292928
key441,302278
key442,297552
key443,286234
key444,285374
key445,291538
key446,287616
key447,296756
key448,293192
key449,277084
key450,286333
key451,276904
key452,290874
key453,296903
key454,286570
key455,277612
key456,279444
key457,287281
key458,297132
key459,272324
key460,289240
key461,295829
key462,288390
key463,278140
key464,280504
key465,283430
key466,278970
key467,278512
key468,301242
key469,296626
key470,95421
key471,93525
key472,86803
key473,89564
key474,91124
key475,87129
key476,98607
key477,104170
key478,135556
key479,117230
key480,86302
key481,79800
key482,293797
key483,275251
key484,283145
key485,286805
key486,302732
key487,280263
key488,302135
key489,291420
key490,280428
key491,280042
key492,287686
key493,319059
key494,293240
key495,280255
key496,298008
key497,279857
key498,280268
key499,280503
key500,290801
key501,308256
key502,286726
key503,288254
key504,282917
key505,314757
key506,287574
key507,285365
key508,286972
key509,285831
key510,293586
key511,288283
key512,279567
key513,291867
key514,294591
key515,296143
key516,279941
key517,282852
key518,369860
key519,88247
key520,109749
key521,96788
key522,93309
key523,87522
key524,98373
key525,97648
key526,91381
key527,166429
key528,94180
key529,83857
key530,91468
key531,86924
key532,88005
key533,100466
key534,90225
key535,85953
key536,91285
key537,91841
key538,286639
key539,287966
key540,296507
key541,281929
key542,305843
key543,291691
key544,297025
key545,317405
key546,298371
key547,298644
key548,278618
key549,287778
key550,292465
key551,293816
key552,292619
key553,287700
key554,294103
key555,289498
key556,287207
key557,315857
key558,278537
key559,297557
key560,301054
key561,286692
key562,297884
key563,288824
key564,299533
key565,283583
key566,296168
key567,287741
key568,288613
key569,293386
key570,282204
key571,279018
key572,290983
key573,286305
key574,368277
key575,310739
key576,86721
key577,92019
key578,88551
key579,119559
key580,87893
key581,99250
key582,96534
key583,103541
key584,86963
key585,105793
key586,95145
key587,112727
key588,100876
key589,94036
key590,309956
key591,281123
key592,283949
key593,304454
key594,293946
key595,299357
key596,290660
key597,273747
key598,291557
key599,289519
key600,285324
key601,281920
key602,278459
key603,279715
key604,273449
key605,283784
key606,294620
key607,293377
key608,276649
key609,287224
key610,277094
key611,293146
key612,278058
key613,288591
key614,298356
key615,290600
key616,284635
key617,283898
key618,279363
key619,281760
key620,279821
key621,274309
key622,286183
key623,308509
key624,288293
key625,302267
key626,334445
key627,385513
key628,280106
key629,290553
key630,97093
key631,91841
key632,88263
key633,104089
key634,91398
key635,90747
key636,103717
key637,91240
key638,84701
key639,102355
key640,103969
key641,284483
key642,285683
key643,282670
key644,276908
key645,296631
key646,287975
key647,275939
key648,281895
key649,285372
key650,286054
key651,294059
key652,278946
key653,291882
key654,285680
key655,290109
key656,284016
key657,296582
key658,300776
key659,295213
key660,280459
key661,280101
key662,283550
key663,276333
key664,281879
key665,284531
key666,283942
key667,278317
key668,281005
key669,276072
key670,287573
key671,292367
key672,290328
key673,278990
key674,449560
key675,287411
key676,283936
key677,337029
key678,289568
key679,92532
key680,87196
key681,94464
key682,96161
key683,84898
key684,91419
key685,96003
key686,148659
key687,87572
key688,96633
key689,100490
key690,97668
key691,85556
key692,305153
key693,289406
key694,275553
key695,285258
key696,292752
key697,290806
key698,305284
key699,314172
key700,297133
key701,282744
key702,274302
key703,335273
key704,282096
key705,293926
key706,292352
key707,324234
key708,290107
key709,293210
key710,283470
key711,289512
key712,301985
key713,293246
key714,290413
key715,271105
key716,290736
key717,287777
key718,281390
key719,281078
key720,284825
key721,291630
key722,368809
key723,281936
key724,282263
key725,294466
key726,301033
key727,311519
key728,290349
key729,100791
key730,88994
key731,82273
key732,84208
key733,91643
key734,90901
key735,98415
key736,112138
key737,118828
key738,83866
key739,98780
key740,101534
key741,90838
key742,107914
key743,350984
key744,335876
key745,280555
key746,282036
key747,280718
key748,295539
key749,290815
key750,330953
key751,282694
key752,296308
key753,298635
key754,299326
key755,289880
key756,287771
key757,286583
key758,294625
key759,289169
key760,279502
key761,285759
key762,295749
key763,285552
key764,283604
key765,287581
key766,305917
key767,283455
key768,275135
key769,279843
key770,284053
key771,287759
key772,391402
key773,282394
key774,322808
key775,286884
key776,283531
key777,277783
key778,340739
key779,283479
key780,96474
key781,90665
key782,89159
key783,92590
key784,90222
key785,92032
key786,91359
key787,89734
key788,95760
key789,94048
key790,90026
key791,98977
key792,93960
key793,105319
key794,91832
key795,90951
key796,96684
key797,289994
key798,285506
key799,300875
key800,292160
key801,285487
key802,296257
key803,294556
key804,288667
key805,280429
key806,279685
key807,274982
key808,291905
key809,297165
key810,306706
key811,291111
key812,292125
key813,272951
key814,290099
key815,280720
key816,281241
key817,278971
key818,274733
key819,276585
key820,279931
key821,287349
key822,289760
key823,289092
key824,361680
key825,282484
key826,276804
key827,273898
key828,282644
key829,283341
key830,284600
key831,285857
key832,286104
key833,385439
key834,285874
key835,279187
key836,91852
key837,94771
key838,89211
key839,92126
key840,86433
key841,89380
key842,125831
key843,90044
key844,90848
key845,84212
key846,103315
key847,270018
key848,282682
key849,273101
key850,295535
key851,295946
key852,282208
key853,270742
key854,278102
key855,283630
key856,286343
key857,289867
key858,276162
key859,293164
key860,273479
key861,300814
key862,281164
key863,285867
key864,278339
key865,288943
key866,280496
key867,298348
key868,288183
key869,300415
key870,280364
key871,276688
key872,300399
key873,375477
key874,289921
key875,321882
key876,274411
key877,313408
key878,286850
key879,297730
key880,286696
key881,277609
key882,290894
key883,341049
key884,281121
key885,110988
key886,303105
key887,86722
key888,94884
key889,112738
key890,89479
key891,99329
key892,91344
key893,118133
key894,90556
key895,93256
key896,103148
key897,102820
key898,86191
key899,294340
key900,278807
key901,304201
key902,276317
key903,280213
key904,281107
key905,301536
key906,287049
key907,298994
key908,290817
key909,287509
key910,281967
key911,282588
key912,272742
key913,283341
key914,271260
key915,277465
key916,284765
key917,295196
key918,284048
key919,283680
key920,290776
key921,302631
key922,309415
key923,276447
key924,272965
key925,282782
key926,279782
key927,265168
key928,297854
key929,308309
key930,301385
key931,309737
key932,288935
key933,302157
key934,315883
key935,417724
key936,302157
key937,93440
key938,99482
key939,96641
key940,83078
key941,88615
key942,87738
key943,115963
key944,115219
key945,88868
key946,91552
key947,96574
key948,89929
key949,99672
key950,305904
key951,285820
key952,294376
key953,290806
key954,280005
key955,288807
key956,278435
key957,295100
key958,308567
key959,289212
key960,285162
key961,290284
key962,270721
key963,293523
key964,279264
key965,295704
key966,306693
key967,276813
key968,289254
key969,282177
key970,281158
key971,367026
key972,274770
key973,329069
key974,346944
key975,280593
key976,272353
key977,305000
key978,293863
key979,279163
key980,277209
key981,297892
key982,292835
key983,272547
key984,283083
key985,288162
key986,302949
key987,278556
key988,87344
key989,95888
key990,87616
key991,82381
key992,86635
key993,91629
key994,99488
key995,90902
key996,88319
key997,87966
key998,85658
key999,89208
