key,latency(us)
key0,17175
key1,13544
key2,13497
key3,12857
key4,13212
key5,12995
key6,12722
key7,12892
key8,13229
key9,12964
key10,12767
key11,12511
key12,12790
key13,12680
key14,12501
key15,12589
key16,12734
key17,13209
key18,12822
key19,12995
key20,12867
key21,12748
key22,12903
key23,13149
key24,12750
key25,13629
key26,16031
key27,17017
key28,33584
key29,133875
key30,21262
key31,32569
key32,15151
key33,16438
key34,14304
key35,13115
key36,12792
key37,12959
key38,12425
key39,12326
key40,12477
key41,12274
key42,12208
key43,12454
key44,12465
key45,12316
key46,12532
key47,12543
key48,12377
key49,12411
key50,14849
key51,14478
key52,13946
key53,13966
key54,13910
key55,13949
key56,13899
key57,13864
key58,13935
key59,13920
key60,13877
key61,13903
key62,13914
key63,13845
key64,13941
key65,13915
key66,13953
key67,13738
key68,14012
key69,13970
key70,14231
key71,14352
key72,13611
key73,13628
key74,13621
key75,13863
key76,13867
key77,13947
key78,13936
key79,13842
key80,13916
key81,13932
key82,13892
key83,13868
key84,13850
key85,13977
key86,14119
key87,14039
key88,13965
key89,13959
key90,13885
key91,13941
key92,13889
key93,13911
key94,13990
key95,14408
key96,14029
key97,14015
key98,14259
key99,14620
key100,14369
key101,14290
key102,14382
key103,14321
key104,14404
key105,13957
key106,13915
key107,14051
key108,13922
key109,14001
key110,13879
key111,13921
key112,13863
key113,14065
key114,13943
key115,14012
key116,13949
key117,13887
key118,13884
key119,13924
key120,13893
key121,13902
key122,13887
key123,14050
key124,13862
key125,14011
key126,13824
key127,13881
key128,13862
key129,13932
key130,14081
key131,13865
key132,13944
key133,13936
key134,14329
key135,14110
key136,13969
key137,13889
key138,14006
key139,13918
key140,14057
key141,13875
key142,14106
key143,13909
key144,13800
key145,13977
key146,13975
key147,13948
key148,13989
key149,14120
key150,14079
key151,14052
key152,13915
key153,13678
key154,13816
key155,14120
key156,13914
key157,14035
key158,13929
key159,13921
key160,14187
key161,14492
key162,14590
key163,14406
key164,14044
key165,14063
key166,14040
key167,14078
key168,14061
key169,13957
key170,13956
key171,13838
key172,14241
key173,14014
key174,13956
key175,14061
key176,13965
key177,13828
key178,13889
key179,13943
key180,14052
key181,13870
key182,13895
key183,13956
key184,14061
key185,14013
key186,14025
key187,13907
key188,14102
key189,13787
key190,14025
key191,13947
key192,13879
key193,13921
key194,13966
key195,13803
key196,13920
key197,13899
key198,13948
key199,13970
key200,13887
key201,13894
key202,14412
key203,13915
key204,13986
key205,13955
key206,13920
key207,13835
key208,13543
key209,13864
key210,14237
key211,14130
key212,14065
key213,14014
key214,13861
key215,13997
key216,14633
key217,14324
key218,14062
key219,13927
key220,13974
key221,13869
key222,14322
key223,14486
key224,14412
key225,14393
key226,14111
key227,13984
key228,14075
key229,13903
key230,13902
key231,13968
key232,13854
key233,13902
key234,14011
key235,14273
key236,14019
key237,13976
key238,13865
key239,13970
key240,14526
key241,14311
key242,14054
key243,14874
key244,14900
key245,14154
key246,14910
key247,14872
key248,14204
key249,14731
key250,14795
key251,13949
key252,14848
key253,14870
key254,14809
key255,14762
key256,14735
key257,14694
key258,14718
key259,14760
key260,14747
key261,13954
key262,14049
key263,14756
key264,13960
key265,14019
key266,14781
key267,13932
key268,14025
key269,14790
key270,14303
key271,14092
key272,14017
key273,13974
key274,13927
key275,14215
key276,13975
key277,13802
key278,13907
key279,13898
key280,13699
key281,13797
key282,13755
key283,13744
key284,14228
key285,14425
key286,14323
key287,13900
key288,14284
key289,14300
key290,13807
key291,13759
key292,13747
key293,13753
key294,13678
key295,13694
key296,13592
key297,13808
key298,13836
key299,13641
key300,13563
key301,13479
key302,13760
key303,14006
key304,13769
key305,13744
key306,13485
key307,13495
key308,13440
key309,13629
key310,13692
key311,13559
key312,13503
key313,13622
key314,13510
key315,13756
key316,13658
key317,13791
key318,13371
key319,13454
key320,13537
key321,13748
key322,13581
key323,13714
key324,13653
key325,13487
key326,13433
key327,13714
key328,13872
key329,13669
key330,13661
key331,13718
key332,14017
key333,13695
key334,13745
key335,13944
key336,13677
key337,13664
key338,13755
key339,13960
key340,13846
key341,13752
key342,13530
key343,13488
key344,13598
key345,13857
key346,13869
key347,13801
key348,13570
key349,13664
key350,13737
key351,13742
key352,13778
key353,13942
key354,13584
key355,13759
key356,13817
key357,13996
key358,13827
key359,13776
key360,13923
key361,13812
key362,13591
key363,13846
key364,13635
key365,13599
key366,13569
key367,13603
key368,13748
key369,13744
key370,13807
key371,13729
key372,13882
key373,13811
key374,13813
key375,13895
key376,14102
key377,15222
key378,14890
key379,15587
key380,15777
key381,15994
key382,16010
key383,15931
key384,15789
key385,15983
key386,16131
key387,15886
key388,15732
key389,15585
key390,15731
key391,16189
key392,16192
key393,16045
key394,16245
key395,16225
key396,16255
key397,16424
key398,16269
key399,16029
key400,16244
key401,16010
key402,15987
key403,16232
key404,16280
key405,16577
key406,16578
key407,16705
key408,17330
key409,17146
key410,16621
key411,16710
key412,17534
key413,16270
key414,16875
key415,16957
key416,16278
key417,16963
key418,17060
key419,16127
key420,17585
key421,17311
key422,16265
key423,16671
