key,latency(us)
key0,63298
key1,41463
key2,40660
key3,38516
key4,54659
key5,42306
key6,39287
key7,39375
key8,42264
key9,41224
key10,40856
key11,25003
key12,36085
key13,28221
key14,41073
key15,42289
key16,28185
key17,25117
key18,38567
key19,42288
key20,27765
key21,27479
key22,28042
key23,57780
key24,38593
key25,39847
key26,37788
key27,39271
key28,26048
key29,26475
key30,26390
key31,24352
key32,76752
key33,44824
key34,118851
key35,31036
key36,26086
key37,25455
key38,25169
key39,26009
key40,38823
key41,42427
key42,29401
key43,46099
key44,25929
key45,39132
key46,38998
key47,25467
key48,28686
key49,28616
key50,26759
key51,26346
key52,34025
key53,58143
key54,42900
key55,43268
key56,43422
key57,42565
key58,42568
key59,25750
key60,49381
key61,27964
key62,46230
key63,45485
key64,14296
key65,17985
key66,14160
key67,17825
key68,13828
key69,17349
key70,17979
key71,16899
key72,20358
key73,15256
key74,18893
key75,16940
key76,13279
key77,18024
key78,14720
key79,14583
key80,17207
key81,14016
key82,15268
key83,13233
key84,15878
key85,13551
key86,15512
key87,17126
key88,16605
key89,16007
key90,17433
key91,16811
key92,13937
key93,15144
key94,14493
key95,16935
key96,15520
key97,16097
key98,14283
key99,17735
key100,16331
key101,15611
key102,14129
key103,16559
key104,18392
key105,17939
key106,37640
key107,14214
key108,33015
key109,26147
key110,14908
key111,13816
key112,18949
key113,13672
key114,14622
key115,15411
key116,13471
key117,14937
key118,60837
key119,20624
key120,17824
key121,15515
key122,18758
key123,17430
key124,18439
key125,17269
key126,48644
key127,19047
key128,14752
key129,27438
key130,15814
key131,31459
key132,15252
key133,15885
key134,28550
key135,13883
key136,17050
key137,13662
key138,14052
key139,14830
key140,13171
key141,15873
key142,15070
key143,13124
key144,16046
key145,26776
key146,14204
key147,12818
key148,12921
key149,13035
key150,14001
key151,13272
key152,17416
key153,13266
key154,13136
key155,12687
key156,17917
key157,14338
key158,16807
key159,13901
key160,15645
key161,14748
key162,13206
key163,15768
key164,12855
key165,12953
key166,12830
key167,14034
key168,13475
key169,15130
key170,16077
key171,14480
key172,68591
key173,13164
key174,16028
key175,13576
key176,14113
key177,16881
key178,12413
key179,13669
key180,15910
key181,13226
key182,19900
key183,20701
key184,19897
key185,23353
key186,16839
key187,15513
key188,16777
key189,15914
key190,13944
key191,18370
key192,80218
key193,14631
key194,13231
key195,16622
key196,14601
key197,15748
key198,14996
key199,13039
key200,13566
key201,14115
key202,14258
key203,14409
key204,13002
key205,15461
key206,16004
key207,13199
key208,15490
key209,14551
key210,15884
key211,13897
key212,13270
key213,15058
key214,12473
key215,13352
key216,13757
key217,16052
key218,13141
key219,13551
key220,13034
key221,13162
key222,13894
key223,14171
key224,16857
key225,16211
key226,15941
key227,13995
key228,17197
key229,14478
key230,13139
key231,13808
key232,27687
key233,15506
key234,15245
key235,16809
key236,12530
key237,13553
key238,14413
key239,19428
key240,12895
key241,13792
key242,15705
key243,14273
key244,15591
key245,13650
key246,16052
key247,22923
key248,18179
key249,63356
key250,16798
key251,16739
key252,17536
key253,19669
key254,15462
key255,19073
key256,12699
key257,12929
key258,12613
key259,15488
key260,13732
key261,46422
key262,16110
key263,15159
key264,12624
key265,13422
key266,42853
key267,16789
key268,14841
key269,14657
key270,16003
key271,13498
key272,26851
key273,14329
key274,16704
key275,12504
key276,13955
key277,14234
key278,13825
key279,16866
key280,14957
key281,15009
key282,34501
key283,15927
key284,13352
key285,12568
key286,13536
key287,12996
key288,17128
key289,16351
key290,15871
key291,47301
key292,13301
key293,64595
key294,13615
key295,12945
key296,13019
key297,16159
key298,33178
key299,14661
key300,14781
key301,13650
key302,15923
key303,16742
key304,13887
key305,12259
key306,13551
key307,15068
key308,16546
key309,14368
key310,14796
key311,17990
key312,26429
key313,35212
key314,18577
key315,19070
key316,18150
key317,16766
key318,17198
key319,19246
key320,16336
key321,14264
key322,850702
key323,15109
key324,15097
key325,16663
key326,14262
key327,14246
key328,15376
key329,22565
key330,16480
key331,20056
key332,16953
key333,33181
key334,54737
key335,16508
key336,20054
key337,14302
key338,17015
key339,17672
key340,17319
key341,16945
key342,26698
key343,14942
key344,56983
key345,15124
key346,15205
key347,14163
key348,16418
key349,14520
key350,29034
key351,14297
key352,154636
key353,14521
key354,21042
key355,17949
key356,17133
key357,18194
key358,14459
key359,13927
key360,15563
key361,14105
key362,16670
key363,14349
key364,14116
key365,13993
key366,14472
key367,13324
key368,28106
key369,16450
key370,15423
key371,13630
key372,15737
key373,15331
key374,19168
key375,27813
key376,22476
key377,20494
key378,72025
key379,114609
key380,28284
key381,19055
key382,17186
key383,16371
key384,16428
key385,18766
key386,16170
key387,15980
key388,15857
key389,14101
key390,16334
key391,16168
key392,125351
key393,208256
key394,14941
key395,17365
key396,62148
key397,44529
key398,14057
key399,13573
key400,13394
key401,12859
key402,14294
key403,48247
key404,16521
key405,16397
key406,13698
key407,15965
key408,14385
key409,71129
key410,14704
key411,15011
key412,13762
key413,15259
key414,13686
key415,14064
key416,13625
key417,14707
key418,15858
key419,14327
key420,13658
key421,16140
key422,22250
key423,12779
key424,16625
key425,12747
key426,52765
key427,15573
key428,14278
key429,12563
key430,13903
key431,13843
key432,60494
key433,14668
key434,12995
key435,14666
key436,12735
key437,13497
key438,17580
key439,25884
key440,19675
key441,17474
key442,14610
key443,15896
key444,19726
key445,41239
key446,17013
key447,19149
key448,18067
key449,13430
key450,15759
key451,15724
key452,12764
key453,16041
key454,14022
key455,13812
key456,15423
key457,17358
key458,13509
key459,12858
key460,37118
key461,15536
key462,16078
key463,13452
key464,15305
key465,13429
key466,14194
key467,13125
key468,13849
key469,18218
key470,15544
key471,14623
key472,16905
key473,14994
key474,13645
key475,13318
key476,12724
key477,17786
key478,40667
key479,42330
key480,54923
key481,41948
key482,27868
key483,33154
key484,43884
key485,45340
key486,28266
key487,45715
key488,43698
key489,30316
key490,28096
key491,29872
key492,28156
key493,27650
key494,29712
key495,28718
key496,55467
key497,28432
key498,29999
key499,27035
key500,28671
key501,76152
key502,27650
key503,57769
key504,26661
key505,28718
key506,28656
key507,44661
key508,29046
key509,27734
key510,28324
key511,31200
key512,40227
key513,29209
key514,25552
key515,26589
key516,28570
key517,40800
key518,31491
key519,26994
key520,27991
key521,26666
key522,37077
key523,39337
key524,33082
key525,28596
key526,53755
key527,27020
key528,26256
key529,28022
key530,59036
key531,26679
key532,28572
key533,26082
key534,27195
key535,27345
key536,26355
key537,26796
key538,29541
key539,26985
key540,30383
key541,26725
key542,16775
key543,15433
key544,17267
key545,18805
key546,15875
key547,15585
key548,18110
key549,17266
key550,18711
key551,18903
key552,21731
key553,16954
key554,17310
key555,17874
key556,16687
key557,61818
key558,15956
key559,17019
key560,13618
key561,18367
key562,16048
key563,16503
key564,47927
key565,15054
key566,15733
key567,22334
key568,16420
key569,16243
key570,42280
key571,15980
key572,15602
key573,20412
key574,14680
key575,17140
key576,17503
key577,21464
key578,13433
key579,16249
key580,16672
key581,14901
key582,15318
key583,23557
key584,16343
key585,14268
key586,16652
key587,18292
key588,16603
key589,17350
key590,15057
key591,16277
key592,42512
key593,35046
key594,17498
key595,18744
key596,19266
key597,19251
key598,18341
key599,14416
key600,15090
key601,18474
key602,17164
key603,21264
key604,16722
key605,16127
key606,16496
key607,17492
key608,15630
key609,17962
key610,18651
key611,18159
key612,17702
key613,17850
key614,18923
key615,18543
key616,18435
key617,18540
key618,19658
key619,15840
key620,20209
key621,19181
key622,16645
key623,21722
key624,18940
key625,21352
key626,69774
key627,17988
key628,18536
key629,16213
key630,18271
key631,19586
key632,26442
key633,17462
key634,14960
key635,18952
key636,16521
key637,15602
key638,13702
key639,15784
key640,19538
key641,18519
key642,14657
key643,17019
key644,17805
key645,29270
key646,16678
key647,14741
key648,16588
key649,15770
key650,16225
key651,15687
key652,15069
key653,14991
key654,15575
key655,14105
key656,14865
key657,13912
key658,14806
key659,17992
key660,16878
key661,17411
key662,14487
key663,14241
key664,31215
key665,14885
key666,16012
key667,16882
key668,15691
key669,17621
key670,18587
key671,19319
key672,36251
key673,17370
key674,15582
key675,18029
key676,16906
key677,15659
key678,16290
key679,15461
key680,16119
key681,17011
key682,15899
key683,18192
key684,16148
key685,18560
key686,16929
key687,17521
key688,15608
key689,19865
key690,19633
key691,16567
key692,17339
key693,19024
key694,17942
key695,17992
key696,14322
key697,16550
key698,15176
key699,18494
key700,19798
key701,16855
key702,17658
key703,16320
key704,17995
key705,18527
key706,16489
key707,17996
key708,18927
key709,18629
key710,18852
key711,17159
key712,23936
key713,14866
key714,17353
key715,17064
key716,17041
key717,17576
key718,14822
key719,16904
key720,15804
key721,16467
key722,16629
key723,17505
key724,15260
key725,16896
key726,16246
key727,16525
key728,14303
key729,18422
key730,16819
key731,17073
key732,16995
key733,16080
key734,16642
key735,16159
key736,16804
key737,16910
key738,16394
key739,19131
key740,15301
key741,16717
key742,18327
key743,16296
key744,15746
key745,42438
key746,17855
key747,15816
key748,19667
key749,17154
key750,38198
key751,16291
key752,18673
key753,16995
key754,32963
key755,13852
key756,19780
key757,18154
key758,15951
key759,15547
key760,16433
key761,16801
key762,15019
key763,14333
key764,17796
key765,14552
key766,16303
key767,17561
key768,17882
key769,14638
key770,16792
key771,15622
key772,25184
key773,14963
key774,16751
key775,47690
key776,16645
key777,15837
key778,15281
key779,14318
key780,15598
key781,15748
key782,13635
key783,16722
key784,14701
key785,16676
key786,15939
key787,23331
key788,17719
key789,17249
key790,15941
key791,14170
key792,21811
key793,16067
key794,18115
key795,16890
key796,19100
key797,39149
key798,19886
key799,18746
key800,17305
key801,17927
key802,36354
key803,18461
key804,18716
key805,17844
key806,16736
key807,16132
key808,18125
key809,17831
key810,17877
key811,17483
key812,16916
key813,18498
key814,18299
key815,16468
key816,18101
key817,16308
